code_insee;mediane_du_revenu_disponible_par_uc_2020;part_des_60-74_ans_2021;part_des_moins_de_15_ans_2021;part_des_15-29_ans_2021;part_des_30-44_ans_2021;part_des_45-59_ans_2021;nombre_grandes_surfaces_2023;nombre_de_superettes_et_epieries;nombre_boulangeries_et_patisseries;nombre_ecoles_primaires_maternelles_elementaires;nombre_de_colleges;nombre_de_lycees;nombre_de_medecins_generalistes;nombre_de_dentistes;nombre_de_pharmacies;taux_evolution;taux_evolution_due_solde_migratoire;taux_evolution_due_solde_naturel;nombre_d_equipements_sportifs;nombre_de_festivals
66025;19910;16.9;19.5;14.7;16.0;22.6;2;2;2;1;1;1;5;4;1;-0.14;0.43;-0.56;11;1.0
66049;21050;26.6;12.3;10.4;13.0;19.5;3;9;7;5;1;3;11;5;3;-0.12;0.84;-0.96;24;6.0
66065;18670;16.8;18.5;15.5;18.5;20.0;4;9;7;5;1;0;6;9;3;1.43;1.57;-0.14;25;0.0
66071;18270;19.2;17.0;13.3;17.9;19.4;1;3;3;2;1;0;3;1;1;0.37;0.53;-0.15;7;0.0
66088;18530;18.3;16.5;14.0;14.9;19.9;4;3;10;4;1;0;8;2;3;0.22;1.16;-0.94;14;3.0
66108;19410;18.5;19.0;15.1;16.1;19.4;1;1;3;2;1;0;3;3;2;0.3;0.55;-0.25;17;1.0
66124;21430;19.2;10.5;24.0;16.1;22.3;1;5;6;1;1;1;4;3;1;-1.54;-1.37;-0.18;27;0.0
66125;17170;29.8;7.0;15.3;11.2;20.1;0;2;2;1;0;0;1;0;1;-1.57;-0.74;-0.83;4;1.0
66130;21050;19.6;12.7;14.7;19.5;24.7;0;1;2;1;0;0;0;0;1;0.54;0.98;-0.43;15;1.0
66148;19020;23.8;12.5;11.2;13.2;20.1;4;1;9;2;1;0;5;4;2;-0.92;0.29;-1.21;16;2.0
66149;18680;22.9;13.2;13.2;13.2;19.1;3;7;7;6;2;1;9;6;3;0.23;1.29;-1.06;28;3.0
66164;19360;17.9;17.3;16.0;16.5;21.0;7;7;8;4;1;1;5;7;3;0.79;0.85;-0.05;22;0.0
66167;20600;16.7;17.5;13.2;19.2;26.6;0;3;1;2;0;0;2;1;1;1.06;1.36;-0.29;7;0.0
66180;20530;25.2;13.5;12.9;14.8;18.3;4;6;8;5;1;0;11;12;3;-0.48;-0.01;-0.46;25;0.0
66187;16450;24.8;13.6;10.8;11.9;21.8;1;3;2;2;1;0;5;2;1;-0.51;1.05;-1.57;12;0.0
66210;20710;20.4;13.8;14.5;15.9;21.9;5;5;11;4;1;0;13;4;3;1.67;2.2;-0.53;23;2.0
66222;19460;30.7;12.4;9.6;11.3;17.1;1;1;3;1;0;0;2;0;1;1.11;3;-1.88;8;0.0
66230;19660;23.9;15.2;11.4;15.2;18.5;0;2;1;2;0;0;2;1;1;1.23;2.36;-1.12;9;1.0
67020;22100;19.5;15.0;16.4;16.3;21.3;0;0;0;1;0;0;0;0;0;-1.16;-0.89;-0.27;2;0.0
67021;23290;16.2;18.1;15.2;19.0;21.7;2;2;9;4;2;1;13;12;2;-0.22;-0.23;0.02;18;0.0
67061;22550;17.0;17.2;15.6;16.6;22.6;2;1;5;1;1;2;6;4;2;-1.53;-1;-0.52;15;1.0
67066;21350;17.8;15.4;15.5;16.4;23.6;3;0;2;2;1;0;1;0;1;-0.68;-0.3;-0.38;7;0.0
67095;22050;24.5;13.5;12.3;16.3;19.1;1;1;3;2;1;0;3;3;1;-0.34;0.29;-0.63;8;0.0
67101;25680;20.2;13.4;13.4;17.3;20.2;2;1;4;2;0;0;4;1;1;0.18;1.04;-0.86;4;0.0
67105;20360;18.6;16.0;14.0;17.7;19.0;2;1;2;1;1;0;5;3;2;-0.84;0.19;-1.04;7;0.0
67176;23420;17.5;17.1;16.1;19.2;22.0;1;0;3;3;0;0;2;2;1;0.66;0.51;0.15;7;0.0
67222;21770;20.8;15.7;16.3;16.8;17.8;4;1;4;1;1;0;6;5;2;-0.39;0.27;-0.66;7;0.0
67281;22650;18.4;17.8;15.4;18.7;19.5;5;2;3;3;1;0;7;5;2;0.61;0.6;0.01;17;0.0
67282;25030;16.1;16.7;15.3;18.8;21.8;2;0;6;2;1;0;6;6;1;-0.02;0.03;-0.06;10;1.0
67291;23210;19.5;16.5;14.1;17.2;22.6;1;0;2;2;1;0;5;3;1;0.1;0.42;-0.32;10;0.0
67300;23070;18.6;16.0;16.8;18.1;20.2;7;2;7;5;2;3;10;25;2;0.12;0.09;0.03;37;0.0
67313;21430;13.7;18.7;20.5;19.7;19.1;2;2;5;3;1;0;9;5;2;0.47;0.33;0.14;10;2.0
67324;23090;21.9;14.5;12.8;15.9;21.8;2;1;7;2;1;0;7;2;2;0.02;0.54;-0.52;9;1.0
67388;22140;18.7;16.6;14.9;17.1;22.0;5;0;3;2;1;0;9;2;1;0.06;0.22;-0.16;9;0.0
67414;20290;20.1;16.4;13.3;15.7;22.4;0;1;2;1;0;0;2;1;1;-0.69;-0.17;-0.51;1;0.0
67434;19070;21.2;16.6;15.3;15.5;18.7;5;0;4;1;1;1;5;2;2;-0.78;-0.16;-0.63;16;0.0
67448;20520;20.4;14.4;14.1;16.6;18.8;1;4;4;1;2;1;7;6;1;-1.46;-0.67;-0.79;6;0.0
67507;22160;19.3;15.6;12.5;16.6;21.3;1;2;3;1;1;0;11;6;1;-0.64;0.16;-0.8;10;0.0
67520;22680;19.0;16.0;15.6;17.7;21.1;5;1;6;3;1;0;7;8;2;0.43;0.67;-0.24;20;0.0
67544;22370;22.9;13.3;14.0;14.8;23.3;6;6;13;6;1;1;8;9;3;-0.32;0.12;-0.44;29;2.0
68004;22700;15.0;16.1;17.7;18.1;22.5;5;2;9;3;1;1;8;15;3;-0.39;-0.19;-0.2;21;2.0
68068;22150;16.0;15.1;17.8;16.0;21.5;2;2;5;1;1;0;4;2;2;0.09;0.65;-0.56;10;0.0
68162;24930;18.6;14.3;15.2;16.6;22.2;2;3;10;4;1;0;5;7;1;-1.01;-0.49;-0.52;19;0.0
68201;22180;19.1;15.3;14.2;16.3;21.3;4;2;4;4;1;1;7;3;2;-0.65;0.28;-0.92;17;1.0
68226;20930;19.8;13.8;15.4;14.8;19.4;4;3;10;3;1;1;9;10;3;0.37;1.43;-1.05;23;2.0
