Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
26063;Buis-les-Baronnies;13.1;7.0;16.0;3.0;20.8
26114;Dieulefit;9.3;3.1;10.0;3.0;22.0
27051;Beaumont-le-Roger;0.0;6.8;19.0;0.0;19.8
27056;Bernay;3.1;4.6;44.0;3.0;20.5
27117;Broglie;9.9;5.9;6.0;1.0;21.5
27279;Gasny;3.3;4.6;14.0;1.0;19.1
27448;Pacy-sur-Eure;2.0;4.0;20.0;1.0;22.6
27470;Pont-Saint-Pierre;0.0;11.4;13.0;0.0;14.1
28027;La Bazoche-Gouet;8.2;3.3;4.0;1.0;10.9
28061;Brou;3.1;7.0;23.0;1.0;13.9
