Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
02078;Besmé;0;0;0;0.0;11.1
02079;Besmont;0;6.8;1;0.0;2.6
02080;Besny-et-Loizy;0;0;0;0.0;17.5
02081;Béthancourt-en-Vaux;0;0;0;0.0;14.9
02082;Beugneux;0;0;0;0.0;8.7
02083;Beuvardes;13.3;8;6;1.0;13.1
02084;Bézu-le-Guéry;0;0;0;0.0;21.1
02085;Bézu-Saint-Germain;0;5;5;0.0;12.6
02086;Bichancourt;10;3;3;1.0;13.9
02087;Bieuxy;0;0;0;0.0;4.5
02088;Bièvres;0;0;0;0.0;20.8
02089;Billy-sur-Aisne;8.7;3.5;4;1.0;15.4
02090;Billy-sur-Ourcq;0;24.6;5;0.0;14.1
02091;Blanzy-lès-Fismes;0;10.6;1;0.0;13.7
02093;Blérancourt;15.3;4.6;6;2.0;11.3
02094;Blesmes;0;6.4;3;0.0;15.5
02095;Bohain-en-Vermandois;5.3;3.3;19;3.0;10
02096;Bois-lès-Pargny;0;0;0;0.0;10.3
02097;Boncourt;0;7.7;2;0.0;20.7
02098;Bonneil;0;2.6;1;0.0;13
02099;Bonnesvalyn;0;0;0;0.0;12.4
02100;Bony;0;7.2;1;0.0;10
02101;Bosmont-sur-Serre;53.8;0;0;1.0;10.3
