Code;M�diane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre grandes surfaces 2023;Nombre de sup�rettes et �pieries;Nombre boulangeries et patisseries;Nombre �coles primaires maternelles �l�mentaires;Nombre de coll�ges;Nombre de lyc�es;Nombre de m�decins g�n�ralistes;Nombre de dentistes;Nombre de pharmacies
17037;18710;24.2;17.2;10.8;12.8;22.9;0;0;1;1;0;0;3;0;1
17038;20410;17.9;14;12;19.8;25.8;0;0;1;1;0;0;0;0;0
17039;22120;20.6;15.9;15.9;18.3;22.9;0;0;0;0;0;0;0;0;0
17041;21370;10.9;26.2;12.6;25.9;17.1;0;1;1;1;0;0;0;0;0
17042;21330;16.9;19.8;13.9;18.9;21.8;0;0;0;0;0;0;0;0;0
17043;20520;19.8;15.3;12.6;14.2;22.3;0;0;0;1;0;0;1;0;0
17044;21430;18.9;18.8;13.9;21.9;21;0;0;0;1;0;0;0;0;0
17045;20150;23;16.3;14.1;16.9;20.8;0;0;1;1;0;0;0;0;0
17046;21190;24.1;14.2;12.5;19.8;22;0;0;0;1;0;0;0;0;0
17047;21580;22.4;13.6;13.4;14.2;27.2;0;0;0;1;0;0;0;0;0
17048;19510;24.5;11.4;14;12.6;20.8;1;0;0;0;0;0;0;0;0
17049;N/A - r�sultat non disponible;29.4;9.1;14;6.5;24.3;0;0;0;0;0;0;0;0;0
17050;19790;19.3;16.9;17.1;16.8;20.7;0;0;0;1;0;1;0;0;0
17051;26720;28.9;10.7;8.7;11.7;17.7;1;1;4;2;0;0;2;4;1
17052;21290;26.7;14.5;9.2;17.8;20.8;0;1;1;1;0;0;0;0;0
17053;20620;19.4;16.8;14;16;22.8;0;1;1;1;0;0;3;0;1
17054;18880;23;14.2;9.3;11.8;22.6;0;0;0;1;0;0;0;0;0
17055;20800;22;8.7;5.8;9;10.9;0;0;0;0;0;0;0;0;0
17056;21090;19.5;18.7;12.4;22.2;19.6;0;0;0;1;0;0;0;0;0
17057;21950;12;24.1;13.2;27.7;19.1;0;0;2;1;0;0;0;0;0
17058;20470;24.4;12.5;12.4;14.6;20.3;2;1;4;2;0;2;2;0;1
17059;25550;23;19.3;13.3;19.9;19.6;0;1;0;2;1;0;1;0;0
17060;18870;28.6;14;12.2;15.3;17.8;0;0;0;0;0;0;0;0;0
17061;21010;28.5;11.7;9.5;14.6;16.8;0;0;0;0;0;0;0;0;0
17062;20800;29.5;12.9;10.7;9.3;20;0;0;0;0;0;0;0;0;0
17063;20370;18.1;16.4;17.3;18.2;19.8;0;0;0;1;0;0;0;0;0
17064;24580;31.7;11.2;9.1;12.2;19.5;0;2;2;1;0;0;1;5;1
17065;24780;19.2;19.4;10.7;17.4;24.6;0;1;1;1;0;0;1;2;0
17066;22850;23.3;15.7;10.4;13.9;21.6;0;0;0;1;0;0;0;0;0
17067;21830;24.8;9.8;15;13.9;22.5;0;0;0;0;0;0;0;0;0
17068;20580;34.6;11.6;9.9;9.4;16.7;0;0;1;0;0;0;0;0;0
17069;22520;19.7;13.1;16.9;16.9;26.8;0;0;0;0;0;0;0;0;0
17070;20810;18.7;17.7;14;17.7;20.1;0;3;1;1;0;0;2;0;1
17071;21990;21.7;17;11.8;18.8;18.8;0;0;0;1;0;0;0;0;0
17072;20700;19.1;17.7;14.3;16;21;1;0;1;1;1;0;4;0;1
17073;22610;24.7;14.5;11.8;13.8;23.8;0;0;0;1;0;0;2;0;0
17074;20210;18.5;19.1;15.7;18.1;21.9;0;0;1;2;0;0;4;0;0
17075;21780;20.3;16.7;13.3;18.3;20.1;0;0;1;1;0;0;0;0;0
17076;20610;17.8;18;15.4;17.8;21.4;0;0;0;1;0;0;0;0;0
17077;19940;19.7;19.5;11;19.3;18.5;0;1;2;1;0;0;1;1;1
17078;21330;19.1;18.5;12.5;16.8;20;0;1;2;1;0;0;0;0;0
17079;21300;21.9;16.6;12.8;16.5;21.8;0;1;2;1;0;0;0;0;0
17080;21210;17.2;19.9;12.4;18.9;23.2;0;0;0;1;0;0;0;0;0
17081;20800;19.1;19.5;7.6;20.9;20.8;0;0;1;1;0;0;0;0;0
17082;21590;23.7;15.5;14.4;13.7;21.8;0;0;0;1;0;0;0;0;0
17083;21590;17.1;19.5;13;19.2;23.9;0;0;2;1;0;0;0;0;0
17084;19430;18.6;19.1;13.6;17.7;21.7;0;1;0;1;0;0;0;0;0
17085;19690;13.9;20.5;15.7;21.2;22.6;0;0;1;0;0;0;0;0;0
17086;22740;25;15.2;10.7;16;21.6;0;1;2;3;0;0;4;1;1
17087;19610;18;22.4;14.6;22.9;13.6;0;0;1;0;0;0;0;0;0
17089;22290;24.7;14.5;13.1;18;22.3;0;0;0;1;0;0;0;0;0
17091;22310;18.5;17.8;13.9;18.2;21.5;0;3;1;2;0;0;2;3;1
17092;20090;25.6;12.2;10.9;14.7;23.2;0;0;0;0;0;0;0;0;0
17093;21730;26.4;12.6;10.3;14.3;20.1;1;3;7;2;1;0;3;2;2
17094;25540;28.8;10.5;12.1;11.5;17.5;0;2;8;4;1;0;12;7;3
17095;20620;28;14.2;10.8;10.4;22.8;0;0;0;0;0;0;0;0;0
17096;N/A - r�sultat non disponible;41.6;13.4;3;14.9;11.9;0;0;0;0;0;0;0;0;0
17097;21660;23.9;13.7;11.2;15.7;22.5;0;0;0;1;0;0;0;0;0
17098;20810;27.7;13.2;11.6;14.1;20.6;0;2;0;0;0;0;0;0;0
17099;20880;22.4;13.8;11.1;12.8;23.1;0;0;0;1;0;0;0;0;0
17100;22390;19.6;17.2;12.3;18.2;22.4;0;1;0;1;0;0;0;0;1
17101;18870;27.8;13.6;13;12.4;23.7;0;0;0;0;0;0;0;0;0
17102;23270;25.2;15.6;11;17;21.9;0;1;0;1;0;0;0;0;0
17104;19730;20.1;17;14.4;17.3;19.4;0;2;2;2;0;2;2;5;1
17105;20930;30.1;9.6;9.5;8.8;22.7;0;1;0;0;0;0;0;0;0
17106;22390;12.3;24.8;12;26.5;18.7;0;0;0;0;0;0;0;0;0
17107;21370;15.6;20.5;13.8;23.5;20;0;1;1;1;0;0;4;0;1
